Kingdom	Phylum	Class	Order	Family	Genus	Species
Metazoa	Arthropoda	Insecta	Lepidoptera	Noctuidae	Autographa	Autographa_gamma
Metazoa	Arthropoda	Insecta	Diptera	Syrphidae	Episyrphus	Episyrphus_balteatus
Metazoa	Arthropoda	Insecta	Orthoptera	Tettigoniidae	Isophya	Isophya_altaica
Metazoa	Arthropoda	Insecta	Lepidoptera	Noctuidae	Apamea	Apamea_monoglypha
Metazoa	Arthropoda	Insecta	Lepidoptera	Noctuidae	Agrotis	Agrotis_segetum
Metazoa	Arthropoda	Insecta	Diptera	Calliphoridae	Lucilia	Lucilia_ampullacea
Metazoa	Arthropoda	Insecta	Hymenoptera	Ichneumonidae	Meniscomorpha	Meniscomorpha_venusia
Metazoa	Arthropoda	Insecta	Diptera	Anthomyiidae	Botanophila	Botanophila_fugax
Metazoa	Arthropoda	Insecta	Diptera	Sarcophagidae	Sarcophaga	Sarcophaga_pyrenaica
Metazoa	Arthropoda	Insecta	Diptera	Tipulidae	Nephrotoma	Nephrotoma_cornicina
Metazoa	Arthropoda	Insecta	Diptera	Calliphoridae	Protophormia	Protophormia_terraenovae
Metazoa	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus_lucorum
Metazoa	Arthropoda	Insecta	Hemiptera	Pentatomidae	Palomena	Palomena_prasina
Metazoa	Arthropoda	Insecta	Lepidoptera	Crambidae	Pediasia	Pediasia_luteella
Metazoa	Arthropoda	Insecta	Lepidoptera	Elachistidae	Agonopterix	Agonopterix_alstromeriana
Metazoa	Arthropoda	Insecta	Hymenoptera	Vespidae	Vespula	Vespula_flavopilosa
Metazoa	Arthropoda	Insecta	Coleoptera	Elateridae	Agriotes	Agriotes_pilosellus
Metazoa	Arthropoda	Insecta	Hymenoptera	Ichneumonidae	Enicospilus	Enicospilus_kelloggae
Metazoa	Arthropoda	Insecta	Diptera	Dolichopodidae	Dolichopus	Dolichopus_bakeri
Metazoa	Arthropoda	Insecta	Coleoptera	Cantharidae	Ancistronycha	Ancistronycha_abdominalis
Metazoa	Arthropoda	Insecta	Hymenoptera	Apidae	Trigonisca	Trigonisca_nataliae
Metazoa	Arthropoda	Insecta	Diptera	Asilidae	Ommatius	Ommatius_dentatus
Metazoa	Arthropoda	Insecta	Hemiptera	Cicadellidae	Empoasca	Empoasca_papayae
Metazoa	Arthropoda	Insecta	Diptera	Syrphidae	Eupeodes	Eupeodes_corollae
Metazoa	Arthropoda	Insecta	Diptera	Anthomyiidae	Anthomyia	Anthomyia_pluvialis
Metazoa	Arthropoda	Insecta	Hymenoptera	Vespidae	Dolichovespula	Dolichovespula_saxonica
Metazoa	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Maniola	Maniola_jurtina
Metazoa	Arthropoda	Insecta	Diptera	Lonchaeidae	Lonchaea	Lonchaea_chorea
Metazoa	Arthropoda	Insecta	Diptera	Sarcophagidae	Sarcophaga	Sarcophaga_variegata
Metazoa	Arthropoda	Insecta	Diptera	Syrphidae	Chrysotoxum	Chrysotoxum_graciosum
Metazoa	Arthropoda	Insecta	Diptera	Anthomyiidae	Lasiomma	Lasiomma_picipes
Metazoa	Arthropoda	Insecta	Lepidoptera	Noctuidae	Trachea	Trachea_atriplicis
Metazoa	Arthropoda	Insecta	Hymenoptera	Vespidae	Dolichovespula	Dolichovespula_sylvestris
Metazoa	Arthropoda	Insecta	Diptera	Tachinidae	Mintho	Mintho_rufiventris
Metazoa	Arthropoda	Insecta	Diptera	Empididae	Empis	Empis_livida
Metazoa	Arthropoda	Insecta	Hymenoptera	Tenthredinidae	Rhogogaster	Rhogogaster_chlorosoma
Metazoa	Arthropoda	Insecta	Lepidoptera	Plutellidae	Plutella	Plutella_xylostella
Metazoa	Arthropoda	Insecta	Diptera	Anthomyiidae	Lasiomma	Lasiomma_seminitidum
Metazoa	Arthropoda	Insecta	Lepidoptera	Tortricidae	Clepsis	Clepsis_consimilana
Metazoa	Arthropoda	Insecta	Dermaptera	Forficulidae	Forficula	Forficula_auricularia
Metazoa	Arthropoda	Insecta	Orthoptera	Tettigoniidae	Isophya	Isophya_altaica
Metazoa	Arthropoda	Insecta	Lepidoptera	Crambidae	Eudonia	Eudonia_mercurella
Metazoa	Arthropoda	Insecta	Diptera	Drosophilidae	Drosophila	Drosophila_limbata
undef_Eukaryota	undef_undef_Eukaryota	Florideophyceae	Gigartinales	Solieriaceae	Solieria_Solieriaceae	Solieria_pacifica
